Timestamp,Symbol,Sl,Ts,%_change,Close,Scan_Date
2026-02-09T10:44:03.447,SENSEXIETF,941.75,939.75,0.657,958.94,2026-02-09
2026-02-09T10:44:03.447,HINDALCO,914.57,928.62,1.95,960.9,2026-02-09
2026-02-09T10:44:03.447,CANFINHOME,904.32,864.1,2.45,951.0,2026-02-09
2026-02-09T10:44:03.447,STAR,824.1,825.8,2.59,886.3,2026-02-09
2026-02-09T10:44:03.447,SAILIFE,816.33,792.2,4.56,888.55,2026-02-09
2026-02-09T10:44:03.447,MARICO,736.13,720.14,0.412,755.85,2026-02-09
2026-02-09T10:44:03.447,JUNIORBEES,722.4,702.38,0.446,745.5,2026-02-09
2026-02-09T10:44:03.447,SETFNN50,713.87,776.9,0.56,738.42,2026-02-09
2026-02-09T10:44:03.447,NEXT50,693.44,678.39,0.401,711.21,2026-02-09
2026-02-09T10:44:03.447,VEDL,637.34,669.11,0.902,677.1,2026-02-09
2026-02-09T10:44:03.447,GRAPHITE,595.94,587.57,3.73,641.8,2026-02-09
2026-02-09T10:44:03.447,NAVA,538.06,513.67,2.79,578.15,2026-02-09
2026-02-09T10:44:03.447,HEG,515.47,521.82,4.19,556.6,2026-02-09
2026-02-09T10:44:03.447,KRISHANA,475.0,465.76,2.35,503.65,2026-02-09
2026-02-09T10:44:03.447,LENSKART,439.5,428.54,0.733,460.65,2026-02-09
2026-02-09T10:44:03.447,INDIACEM,428.77,423.12,1.14,457.8,2026-02-09
2026-02-09T10:44:03.447,REPCOHOME,383.56,371.99,3.53,417.9,2026-02-09
2026-02-09T10:44:03.447,INDIANHUME,377.26,376.08,1.5,396.0,2026-02-09
2026-02-08T23:27:55.046,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-08
2026-02-08T23:27:55.046,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-08
2026-02-08T23:27:55.046,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-08
2026-02-08T23:27:55.046,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-08
2026-02-08T23:27:55.046,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-08
2026-02-08T23:27:55.046,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-08
2026-02-08T23:27:55.046,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-08
2026-02-08T23:27:55.046,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-08
2026-02-08T23:27:55.046,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-08
2026-02-08T23:27:55.046,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-08
2026-02-08T23:27:55.046,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-08
2026-02-08T23:27:55.046,MARICO,724.39,716.42,0.595,752.75,2026-02-08
2026-02-08T23:27:55.046,VEDL,603.86,660.63,2.42,671.05,2026-02-08
2026-02-08T23:27:55.046,BBOX,471.02,470.11,2.8,529.75,2026-02-08
2026-02-08T23:27:55.046,LENSKART,425.84,423.86,2.3,457.3,2026-02-08
2026-02-08T23:27:55.046,MASFIN,299.31,294.88,3.48,324.45,2026-02-08
2026-02-08T23:27:55.046,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-08
2026-02-08T23:27:55.046,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-08
2026-02-08T23:27:55.046,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-08
2026-02-08T23:27:55.046,GLOBAL,75.95,75.06,3.53,84.87,2026-02-08
2026-02-08T23:27:55.046,MID150,21.29,20.75,0.54,22.34,2026-02-08
2026-02-08T23:27:55.046,HARDWYN,14.9,15.69,4.02,17.08,2026-02-08
2026-02-07T23:25:50.729,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-07
2026-02-07T23:25:50.729,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-07
2026-02-07T23:25:50.729,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-07
2026-02-07T23:25:50.729,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-07
2026-02-07T23:25:50.729,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-07
2026-02-07T23:25:50.729,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-07
2026-02-07T23:25:50.729,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-07
2026-02-07T23:25:50.729,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-07
2026-02-07T23:25:50.729,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-07
2026-02-07T23:25:50.729,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-07
2026-02-07T23:25:50.729,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-07
2026-02-07T23:25:50.729,MARICO,724.39,716.42,0.595,752.75,2026-02-07
2026-02-07T23:25:50.729,VEDL,603.86,660.63,2.42,671.05,2026-02-07
2026-02-07T23:25:50.729,BBOX,471.02,470.11,2.8,529.75,2026-02-07
2026-02-07T23:25:50.729,LENSKART,425.84,423.86,2.3,457.3,2026-02-07
2026-02-07T23:25:50.729,MASFIN,299.31,294.88,3.48,324.45,2026-02-07
2026-02-07T23:25:50.729,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-07
2026-02-07T23:25:50.729,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-07
2026-02-07T23:25:50.729,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-07
2026-02-07T23:25:50.729,GLOBAL,75.95,75.06,3.53,84.87,2026-02-07
2026-02-07T23:25:50.729,MID150,21.29,20.75,0.54,22.34,2026-02-07
2026-02-07T23:25:50.729,HARDWYN,14.9,15.69,4.02,17.08,2026-02-07
2026-02-06T23:59:36.283,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-06
2026-02-06T23:59:36.283,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-06
2026-02-06T23:59:36.283,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-06
2026-02-06T23:59:36.283,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-06
2026-02-06T23:59:36.283,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-06
2026-02-06T23:59:36.283,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-06
2026-02-06T23:59:36.283,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-06
2026-02-06T23:59:36.283,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-06
2026-02-06T23:59:36.283,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-06
2026-02-06T23:59:36.283,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-06
2026-02-06T23:59:36.283,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-06
2026-02-06T23:59:36.283,MARICO,724.39,716.42,0.595,752.75,2026-02-06
2026-02-06T23:59:36.283,VEDL,603.86,660.63,2.42,671.05,2026-02-06
2026-02-06T23:59:36.283,BBOX,471.02,470.11,2.8,529.75,2026-02-06
2026-02-06T23:59:36.283,LENSKART,425.84,423.86,2.3,457.3,2026-02-06
2026-02-06T23:59:36.283,MASFIN,299.31,294.88,3.48,324.45,2026-02-06
2026-02-06T23:59:36.283,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-06
2026-02-06T23:59:36.283,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-06
2026-02-06T23:59:36.283,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-06
2026-02-06T23:59:36.283,GLOBAL,75.95,75.06,3.53,84.87,2026-02-06
2026-02-06T23:59:36.283,MID150,21.29,20.75,0.54,22.34,2026-02-06
2026-02-06T23:59:36.283,HARDWYN,14.9,15.69,4.02,17.08,2026-02-06
