Timestamp,Symbol,Sl,Ts,%_change,Close,Scan_Date
2026-02-09T11:48:18.978,NIFTY100ESGSECLDR,4232.22,4219.52,0.373,4306.6,2026-02-09
2026-02-09T11:48:18.978,TORNTPHARM,3834.87,3803.2,1.75,4007.9,2026-02-09
2026-02-09T11:48:18.978,TVSMOTOR,3613.07,3511.81,0.567,3779.8,2026-02-09
2026-02-09T11:48:18.978,THANGAMAYL,3069.63,3347.79,5.14,3575.0,2026-02-09
2026-02-09T11:48:18.978,QNIFTY,2789.1,2737.32,0.456,2832.0,2026-02-09
2026-02-09T11:48:18.978,FIEMIND,2203.41,2087.94,1.48,2330.6,2026-02-09
2026-02-09T11:48:18.978,COROMANDEL,2186.05,2169.66,0.551,2282.8,2026-02-09
2026-02-09T11:48:18.978,CENTUM,2181.19,2208.37,1.51,2351.7,2026-02-09
2026-02-09T11:48:18.978,GLENMARK,1879.9,1857.31,2.25,1978.3,2026-02-09
2026-02-09T11:48:18.978,JBCHEPHARM,1802.96,1798.67,2.06,1887.6,2026-02-09
2026-02-09T11:48:18.978,PIRAMALFIN,1639.19,1775.98,4.08,1758.9,2026-02-09
2026-02-09T11:48:18.978,EMCURE,1462.27,1409.42,0.594,1524.7,2026-02-09
2026-02-09T11:48:18.978,LUMAXTECH,1392.76,1307.89,4.0,1535.1,2026-02-09
2026-02-09T11:48:18.978,KERNEX,1123.95,1214.24,1.91,1217.0,2026-02-09
2026-02-09T11:48:18.978,KIRLOSENG,1123.62,1086.15,2.98,1205.5,2026-02-09
2026-02-09T11:48:18.978,HAPPYFORGE,1045.43,1027.59,2.63,1124.1,2026-02-09
2026-02-09T11:48:18.978,RACLGEAR,988.69,955.08,7.14,1117.5,2026-02-09
2026-02-09T11:48:18.978,GMBREW,983.49,943.88,2.5,1059.5,2026-02-09
2026-02-09T11:48:18.978,SENSEXIETF,941.75,939.75,0.764,959.96,2026-02-09
2026-02-09T11:48:18.978,HINDALCO,913.41,925.14,2.82,969.15,2026-02-09
2026-02-09T11:48:18.978,CANFINHOME,904.32,864.1,2.45,951.0,2026-02-09
2026-02-09T11:48:18.978,INDIANB,849.45,828.36,3.72,903.6,2026-02-09
2026-02-09T11:48:18.978,STAR,823.91,825.22,2.74,887.6,2026-02-09
2026-02-09T11:48:18.978,SAILIFE,816.26,791.98,5.0,892.3,2026-02-09
2026-02-09T11:48:18.978,SENORES,797.03,768.04,1.7,839.35,2026-02-09
2026-02-09T11:48:18.978,ABSLAMC,784.3,772.8,0.812,819.6,2026-02-09
2026-02-09T11:48:18.978,CENTURYPLY,753.23,745.09,1.24,807.7,2026-02-09
2026-02-09T11:48:18.978,MARICO,736.13,720.14,0.418,755.9,2026-02-09
2026-02-09T11:48:18.978,JUNIORBEES,722.4,702.38,0.783,748.0,2026-02-09
2026-02-09T11:48:18.978,SETFNN50,713.87,776.9,0.775,740.0,2026-02-09
2026-02-08T23:27:55.046,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-08
2026-02-08T23:27:55.046,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-08
2026-02-08T23:27:55.046,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-08
2026-02-08T23:27:55.046,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-08
2026-02-08T23:27:55.046,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-08
2026-02-08T23:27:55.046,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-08
2026-02-08T23:27:55.046,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-08
2026-02-08T23:27:55.046,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-08
2026-02-08T23:27:55.046,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-08
2026-02-08T23:27:55.046,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-08
2026-02-08T23:27:55.046,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-08
2026-02-08T23:27:55.046,MARICO,724.39,716.42,0.595,752.75,2026-02-08
2026-02-08T23:27:55.046,VEDL,603.86,660.63,2.42,671.05,2026-02-08
2026-02-08T23:27:55.046,BBOX,471.02,470.11,2.8,529.75,2026-02-08
2026-02-08T23:27:55.046,LENSKART,425.84,423.86,2.3,457.3,2026-02-08
2026-02-08T23:27:55.046,MASFIN,299.31,294.88,3.48,324.45,2026-02-08
2026-02-08T23:27:55.046,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-08
2026-02-08T23:27:55.046,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-08
2026-02-08T23:27:55.046,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-08
2026-02-08T23:27:55.046,GLOBAL,75.95,75.06,3.53,84.87,2026-02-08
2026-02-08T23:27:55.046,MID150,21.29,20.75,0.54,22.34,2026-02-08
2026-02-08T23:27:55.046,HARDWYN,14.9,15.69,4.02,17.08,2026-02-08
2026-02-07T23:25:50.729,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-07
2026-02-07T23:25:50.729,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-07
2026-02-07T23:25:50.729,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-07
2026-02-07T23:25:50.729,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-07
2026-02-07T23:25:50.729,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-07
2026-02-07T23:25:50.729,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-07
2026-02-07T23:25:50.729,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-07
2026-02-07T23:25:50.729,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-07
2026-02-07T23:25:50.729,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-07
2026-02-07T23:25:50.729,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-07
2026-02-07T23:25:50.729,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-07
2026-02-07T23:25:50.729,MARICO,724.39,716.42,0.595,752.75,2026-02-07
2026-02-07T23:25:50.729,VEDL,603.86,660.63,2.42,671.05,2026-02-07
2026-02-07T23:25:50.729,BBOX,471.02,470.11,2.8,529.75,2026-02-07
2026-02-07T23:25:50.729,LENSKART,425.84,423.86,2.3,457.3,2026-02-07
2026-02-07T23:25:50.729,MASFIN,299.31,294.88,3.48,324.45,2026-02-07
2026-02-07T23:25:50.729,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-07
2026-02-07T23:25:50.729,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-07
2026-02-07T23:25:50.729,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-07
2026-02-07T23:25:50.729,GLOBAL,75.95,75.06,3.53,84.87,2026-02-07
2026-02-07T23:25:50.729,MID150,21.29,20.75,0.54,22.34,2026-02-07
2026-02-07T23:25:50.729,HARDWYN,14.9,15.69,4.02,17.08,2026-02-07
2026-02-06T23:59:36.283,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-06
2026-02-06T23:59:36.283,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-06
2026-02-06T23:59:36.283,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-06
2026-02-06T23:59:36.283,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-06
2026-02-06T23:59:36.283,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-06
2026-02-06T23:59:36.283,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-06
2026-02-06T23:59:36.283,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-06
2026-02-06T23:59:36.283,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-06
2026-02-06T23:59:36.283,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-06
2026-02-06T23:59:36.283,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-06
2026-02-06T23:59:36.283,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-06
2026-02-06T23:59:36.283,MARICO,724.39,716.42,0.595,752.75,2026-02-06
2026-02-06T23:59:36.283,VEDL,603.86,660.63,2.42,671.05,2026-02-06
2026-02-06T23:59:36.283,BBOX,471.02,470.11,2.8,529.75,2026-02-06
2026-02-06T23:59:36.283,LENSKART,425.84,423.86,2.3,457.3,2026-02-06
2026-02-06T23:59:36.283,MASFIN,299.31,294.88,3.48,324.45,2026-02-06
2026-02-06T23:59:36.283,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-06
2026-02-06T23:59:36.283,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-06
2026-02-06T23:59:36.283,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-06
2026-02-06T23:59:36.283,GLOBAL,75.95,75.06,3.53,84.87,2026-02-06
2026-02-06T23:59:36.283,MID150,21.29,20.75,0.54,22.34,2026-02-06
2026-02-06T23:59:36.283,HARDWYN,14.9,15.69,4.02,17.08,2026-02-06
