Timestamp,Symbol,Sl,Ts,%_change,Close,Scan_Date
2026-02-09T21:05:10.707,ABSLAMC,784.3,772.81,0.824,819.7,2026-02-09
2026-02-09T21:05:10.707,MARICO,736.13,720.14,0.279,754.85,2026-02-09
2026-02-08T23:27:55.046,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-08
2026-02-08T23:27:55.046,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-08
2026-02-08T23:27:55.046,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-08
2026-02-08T23:27:55.046,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-08
2026-02-08T23:27:55.046,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-08
2026-02-08T23:27:55.046,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-08
2026-02-08T23:27:55.046,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-08
2026-02-08T23:27:55.046,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-08
2026-02-08T23:27:55.046,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-08
2026-02-08T23:27:55.046,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-08
2026-02-08T23:27:55.046,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-08
2026-02-08T23:27:55.046,MARICO,724.39,716.42,0.595,752.75,2026-02-08
2026-02-08T23:27:55.046,VEDL,603.86,660.63,2.42,671.05,2026-02-08
2026-02-08T23:27:55.046,BBOX,471.02,470.11,2.8,529.75,2026-02-08
2026-02-08T23:27:55.046,LENSKART,425.84,423.86,2.3,457.3,2026-02-08
2026-02-08T23:27:55.046,MASFIN,299.31,294.88,3.48,324.45,2026-02-08
2026-02-08T23:27:55.046,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-08
2026-02-08T23:27:55.046,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-08
2026-02-08T23:27:55.046,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-08
2026-02-08T23:27:55.046,GLOBAL,75.95,75.06,3.53,84.87,2026-02-08
2026-02-08T23:27:55.046,MID150,21.29,20.75,0.54,22.34,2026-02-08
2026-02-08T23:27:55.046,HARDWYN,14.9,15.69,4.02,17.08,2026-02-08
2026-02-07T23:25:50.729,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-07
2026-02-07T23:25:50.729,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-07
2026-02-07T23:25:50.729,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-07
2026-02-07T23:25:50.729,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-07
2026-02-07T23:25:50.729,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-07
2026-02-07T23:25:50.729,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-07
2026-02-07T23:25:50.729,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-07
2026-02-07T23:25:50.729,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-07
2026-02-07T23:25:50.729,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-07
2026-02-07T23:25:50.729,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-07
2026-02-07T23:25:50.729,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-07
2026-02-07T23:25:50.729,MARICO,724.39,716.42,0.595,752.75,2026-02-07
2026-02-07T23:25:50.729,VEDL,603.86,660.63,2.42,671.05,2026-02-07
2026-02-07T23:25:50.729,BBOX,471.02,470.11,2.8,529.75,2026-02-07
2026-02-07T23:25:50.729,LENSKART,425.84,423.86,2.3,457.3,2026-02-07
2026-02-07T23:25:50.729,MASFIN,299.31,294.88,3.48,324.45,2026-02-07
2026-02-07T23:25:50.729,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-07
2026-02-07T23:25:50.729,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-07
2026-02-07T23:25:50.729,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-07
2026-02-07T23:25:50.729,GLOBAL,75.95,75.06,3.53,84.87,2026-02-07
2026-02-07T23:25:50.729,MID150,21.29,20.75,0.54,22.34,2026-02-07
2026-02-07T23:25:50.729,HARDWYN,14.9,15.69,4.02,17.08,2026-02-07
2026-02-06T23:59:36.283,NIFTYALPHA50,47679.44,46825.07,1.21,49765.6,2026-02-06
2026-02-06T23:59:36.283,NIFTYMETAL,11415.76,11489.03,0.184,11943.15,2026-02-06
2026-02-06T23:59:36.283,CNXINFRA,9282.66,9052.98,0.406,9541.0,2026-02-06
2026-02-06T23:59:36.283,TVSMOTOR,3558.9,3524.11,1.23,3758.5,2026-02-06
2026-02-06T23:59:36.283,ESCORTS,3555.28,3506.23,1.34,3763.7,2026-02-06
2026-02-06T23:59:36.283,THANGAMAYL,2949.83,3367.0,7.08,3400.2,2026-02-06
2026-02-06T23:59:36.283,QNIFTY,2750.41,2729.2,0.39,2819.15,2026-02-06
2026-02-06T23:59:36.283,BHARTIARTL,1939.99,1938.48,2.31,2038.4,2026-02-06
2026-02-06T23:59:36.283,BHARTIHEXA,1558.83,1571.4,4.44,1699.7,2026-02-06
2026-02-06T23:59:36.283,SHRIRAMFIN,937.85,936.35,1.06,1002.5,2026-02-06
2026-02-06T23:59:36.283,JPOLYINVST,932.18,922.88,2.5,1027.35,2026-02-06
2026-02-06T23:59:36.283,MARICO,724.39,716.42,0.595,752.75,2026-02-06
2026-02-06T23:59:36.283,VEDL,603.86,660.63,2.42,671.05,2026-02-06
2026-02-06T23:59:36.283,BBOX,471.02,470.11,2.8,529.75,2026-02-06
2026-02-06T23:59:36.283,LENSKART,425.84,423.86,2.3,457.3,2026-02-06
2026-02-06T23:59:36.283,MASFIN,299.31,294.88,3.48,324.45,2026-02-06
2026-02-06T23:59:36.283,EUROPRATIK,238.27,234.91,5.37,280.32,2026-02-06
2026-02-06T23:59:36.283,SKMEGGPROD,173.59,170.25,2.23,197.29,2026-02-06
2026-02-06T23:59:36.283,MEGASOFT,171.4,174.75,0.795,188.95,2026-02-06
2026-02-06T23:59:36.283,GLOBAL,75.95,75.06,3.53,84.87,2026-02-06
2026-02-06T23:59:36.283,MID150,21.29,20.75,0.54,22.34,2026-02-06
2026-02-06T23:59:36.283,HARDWYN,14.9,15.69,4.02,17.08,2026-02-06
